example_id                                                      | status | run_time        |
./spec/models/service_spec.rb[1:3:1]                            | passed | 0.00807 seconds |
./spec/models/service_spec.rb[1:3:2]                            | passed | 0.008 seconds   |
./spec/models/service_spec.rb[1:3:3]                            | passed | 0.00814 seconds |
./spec/models/service_spec.rb[1:3:4]                            | passed | 0.00808 seconds |
./spec/models/service_spec.rb[1:4:1]                            | passed | 0.01013 seconds |
./spec/models/service_spec.rb[1:4:2]                            | passed | 0.00986 seconds |
./spec/models/service_spec.rb[1:4:3]                            | passed | 0.00992 seconds |
./spec/models/service_spec.rb[1:4:4]                            | passed | 0.01053 seconds |
./spec/models/service_spec.rb[1:4:5]                            | passed | 0.00903 seconds |
./spec/models/service_spec.rb[1:4:6]                            | passed | 0.01752 seconds |
./spec/models/service_spec.rb[1:4:7]                            | passed | 0.00909 seconds |
./spec/models/service_spec.rb[1:4:8]                            | passed | 0.01059 seconds |
./spec/models/service_spec.rb[1:4:9]                            | passed | 0.03728 seconds |
./spec/models/service_spec.rb[1:4:10]                           | passed | 0.00961 seconds |
./spec/models/service_spec.rb[1:5:1]                            | passed | 0.00529 seconds |
./spec/models/service_spec.rb[1:5:2]                            | passed | 0.0061 seconds  |
./spec/models/service_spec.rb[1:5:3]                            | passed | 0.00553 seconds |
./spec/models/service_spec.rb[1:5:4]                            | passed | 0.00581 seconds |
./spec/models/service_spec.rb[1:5:5]                            | passed | 0.00735 seconds |
./spec/models/service_spec.rb[1:5:6]                            | passed | 0.00765 seconds |
./spec/models/service_spec.rb[1:5:7]                            | passed | 0.00806 seconds |
./spec/models/service_spec.rb[1:5:8]                            | passed | 0.00802 seconds |
./spec/models/service_spec.rb[1:5:9]                            | passed | 0.0082 seconds  |
./spec/models/service_spec.rb[1:5:10]                           | passed | 0.00892 seconds |
./spec/models/service_spec.rb[1:5:11]                           | passed | 0.02116 seconds |
./spec/models/service_spec.rb[1:5:12]                           | passed | 0.01551 seconds |
./spec/models/service_spec.rb[1:5:13]                           | passed | 0.00832 seconds |
./spec/models/service_spec.rb[1:6:1]                            | passed | 0.01157 seconds |
./spec/models/service_spec.rb[1:6:2]                            | passed | 0.0107 seconds  |
./spec/models/service_spec.rb[1:6:3]                            | passed | 0.00942 seconds |
./spec/models/service_spec.rb[1:6:4]                            | passed | 0.00927 seconds |
./spec/models/service_spec.rb[1:7:1]                            | passed | 0.00874 seconds |
./spec/models/service_spec.rb[1:7:2]                            | passed | 0.00878 seconds |
./spec/models/service_spec.rb[1:7:3]                            | passed | 0.00949 seconds |
